time,Longitude,Latitude,Altitude (m),Speed (km/h),Total Distance (km)
51:33.0,14.699865,80.13748,127.2,5.0,3069.266
51:34.0,14.699872,80.137492,127.3,4.6,3069.268
51:35.0,14.699879,80.137502,127.3,4.3,3069.269
51:36.0,14.699886,80.137514,127.2,4.5,3069.27
51:37.0,14.699892,80.137525,127.0,4.5,3069.271
51:38.0,14.699899,80.137536,127.1,4.5,3069.273
51:39.0,14.699906,80.137548,127.1,4.7,3069.274
51:40.0,14.699913,80.13756,127.0,4.7,3069.275
51:41.0,14.69992,80.137572,127.0,4.7,3069.277
51:42.0,14.699927,80.137583,127.1,4.6,3069.278
51:43.0,14.699934,80.137594,127.0,4.5,3069.279
51:44.0,14.699941,80.137606,127.0,4.6,3069.28
51:45.0,14.699948,80.137617,127.0,4.7,3069.282
51:46.0,14.699954,80.137628,127.0,4.4,3069.283
51:47.0,14.699961,80.13764,127.0,4.6,3069.284
51:48.0,14.699968,80.137651,126.9,4.4,3069.285
51:49.0,14.699975,80.137662,126.9,4.5,3069.287
51:50.0,14.699981,80.137673,126.9,4.5,3069.288
51:51.0,14.699989,80.137685,126.8,4.8,3069.289
51:52.0,14.699995,80.137697,126.8,4.4,3069.29
51:53.0,14.700003,80.137709,126.7,5.0,3069.292
51:54.0,14.70001,80.137721,126.7,4.7,3069.293
51:55.0,14.700017,80.137732,126.7,4.7,3069.294
51:56.0,14.700023,80.137743,126.7,4.4,3069.296
51:57.0,14.70003,80.137755,126.7,4.5,3069.297
51:58.0,14.700037,80.137766,126.6,4.6,3069.298
51:59.0,14.700044,80.137778,126.7,4.6,3069.299
52:00.0,14.700051,80.137789,126.7,4.6,3069.301
52:01.0,14.700057,80.1378,126.7,4.3,3069.302
52:02.0,14.700064,80.137812,126.9,4.7,3069.303
52:03.0,14.700072,80.137824,127.3,4.8,3069.305
52:04.0,14.700078,80.137834,127.4,4.3,3069.306
52:05.0,14.700085,80.137846,127.6,4.6,3069.307
52:06.0,14.700092,80.137857,127.6,4.5,3069.308
52:07.0,14.700098,80.137868,127.6,4.4,3069.31
52:08.0,14.700105,80.13788,127.7,4.7,3069.311
52:09.0,14.700112,80.137891,127.7,4.6,3069.312
52:10.0,14.700119,80.137903,127.8,4.5,3069.313
52:11.0,14.700126,80.137914,127.8,4.6,3069.315
52:12.0,14.700131,80.137923,127.4,4.5,3069.316
52:13.0,14.700138,80.137934,126.8,4.4,3069.317
52:14.0,14.700145,80.137946,126.8,4.5,3069.318
52:15.0,14.700152,80.137957,126.8,4.7,3069.319
52:16.0,14.700159,80.13797,126.9,4.8,3069.321
52:17.0,14.700166,80.137981,126.9,4.4,3069.322
52:18.0,14.700173,80.137992,127.0,4.7,3069.323
52:19.0,14.70018,80.138004,127.2,4.6,3069.325
52:20.0,14.700186,80.138015,127.2,4.5,3069.326
52:21.0,14.700193,80.138026,127.1,4.5,3069.327
52:22.0,14.7002,80.138037,127.1,4.4,3069.328
52:23.0,14.700206,80.138048,127.1,4.4,3069.33
52:24.0,14.700213,80.138059,127.1,4.4,3069.331
52:25.0,14.70022,80.13807,127.1,4.4,3069.332
52:26.0,14.700227,80.138082,126.9,4.8,3069.333
52:27.0,14.700234,80.138094,127.0,4.8,3069.335
52:28.0,14.700241,80.138105,127.1,4.4,3069.336
52:29.0,14.700248,80.138117,127.1,4.7,3069.337
52:30.0,14.700255,80.138129,127.2,4.8,3069.339
52:31.0,14.700262,80.13814,127.3,4.4,3069.34
52:32.0,14.700275,80.138163,127.3,4.5,3069.342
52:33.0,14.700282,80.138175,127.6,4.6,3069.344
52:34.0,14.700289,80.138186,127.4,4.7,3069.345
52:35.0,14.700296,80.138198,127.4,4.4,3069.346
52:36.0,14.700303,80.138209,127.4,4.4,3069.347
52:37.0,14.70031,80.13822,127.3,4.7,3069.349
52:38.0,14.700316,80.138232,127.3,4.6,3069.35
52:39.0,14.700323,80.138243,127.3,4.3,3069.351
52:40.0,14.70033,80.138254,127.3,4.5,3069.352
52:41.0,14.700336,80.138265,127.3,4.4,3069.354
52:42.0,14.700343,80.138276,127.3,4.6,3069.355
52:43.0,14.70035,80.138288,127.3,4.8,3069.356
52:44.0,14.700357,80.138299,127.5,4.5,3069.357
52:45.0,14.700364,80.138311,127.7,4.5,3069.359
52:46.0,14.700371,80.138322,127.8,4.7,3069.36
52:47.0,14.700378,80.138334,127.8,4.5,3069.361
52:48.0,14.700384,80.138345,127.7,4.5,3069.362
52:49.0,14.700392,80.138357,127.6,4.7,3069.364
52:50.0,14.700398,80.138368,127.5,4.6,3069.365
52:51.0,14.700405,80.13838,127.5,4.5,3069.366
52:52.0,14.700412,80.138392,127.5,4.9,3069.368
52:53.0,14.700419,80.138403,127.4,4.5,3069.369
52:54.0,14.700426,80.138414,127.5,4.5,3069.37
52:55.0,14.700433,80.138425,127.6,4.4,3069.371
52:56.0,14.70044,80.138437,127.6,4.7,3069.373
52:57.0,14.700447,80.138449,127.7,4.7,3069.374
52:58.0,14.700454,80.138461,127.8,4.7,3069.375
52:59.0,14.700461,80.138472,127.8,4.6,3069.377
53:00.0,14.700467,80.138483,127.8,4.6,3069.378
53:01.0,14.700475,80.138496,127.7,4.9,3069.379
53:02.0,14.700469,80.138486,128.0,4.8,3069.38
53:03.0,14.700476,80.138497,128.6,4.7,3069.379
53:04.0,14.700483,80.138509,128.5,4.6,3069.381
53:05.0,14.70049,80.138521,128.3,4.7,3069.382
53:06.0,14.700497,80.138533,128.3,4.8,3069.383
53:07.0,14.700504,80.138544,128.2,4.7,3069.385
53:08.0,14.700511,80.138555,128.2,4.4,3069.386
53:09.0,14.700518,80.138567,128.0,4.8,3069.387
53:10.0,14.700525,80.138579,128.3,4.6,3069.388
53:11.0,14.700531,80.13859,128.3,4.4,3069.39
53:12.0,14.700548,80.138618,128.1,4.6,3069.393
53:13.0,14.700555,80.138629,127.7,4.6,3069.394
53:14.0,14.700562,80.138641,127.8,4.8,3069.395
53:15.0,14.700569,80.138653,127.8,4.7,3069.397
53:16.0,14.700576,80.138664,127.9,4.6,3069.398
53:17.0,14.700583,80.138676,127.9,4.6,3069.399
53:18.0,14.70059,80.138688,128.0,4.8,3069.401
53:19.0,14.700597,80.138699,128.2,4.4,3069.402
53:20.0,14.700604,80.13871,128.2,4.4,3069.403
53:21.0,14.70061,80.138722,128.1,4.6,3069.404
53:22.0,14.700618,80.138734,128.3,4.7,3069.406
53:23.0,14.700625,80.138746,128.3,4.7,3069.407
53:24.0,14.700632,80.138757,128.4,4.7,3069.408
53:25.0,14.700639,80.138769,128.4,4.7,3069.409
53:26.0,14.700646,80.138781,128.6,4.9,3069.411
53:27.0,14.700653,80.138793,128.7,4.7,3069.412
53:28.0,14.70066,80.138805,128.7,4.7,3069.413
53:29.0,14.700667,80.138816,128.7,4.7,3069.415
53:30.0,14.700674,80.138828,128.6,4.6,3069.416
53:31.0,14.700681,80.13884,128.6,5.0,3069.417
53:32.0,14.700677,80.138833,128.5,4.9,3069.418
53:33.0,14.700684,80.138844,128.2,4.7,3069.418
53:34.0,14.700691,80.138856,128.2,4.6,3069.419
53:35.0,14.700698,80.138867,128.3,4.6,3069.42
53:36.0,14.700705,80.138879,128.3,4.5,3069.422
53:37.0,14.700712,80.138891,128.4,4.8,3069.423
53:38.0,14.700719,80.138902,128.6,4.6,3069.424
53:39.0,14.700725,80.138913,128.6,4.6,3069.426
53:40.0,14.700733,80.138926,128.5,4.8,3069.427
53:41.0,14.70074,80.138938,128.5,4.9,3069.428
53:42.0,14.700747,80.13895,128.6,4.7,3069.43
53:43.0,14.700754,80.138962,128.6,4.9,3069.431
53:44.0,14.700762,80.138974,128.4,4.9,3069.432
53:45.0,14.70077,80.138987,128.4,5.1,3069.434
53:46.0,14.700777,80.138999,128.4,4.8,3069.435
53:47.0,14.700784,80.139011,128.4,4.7,3069.436
53:48.0,14.700791,80.139022,128.4,4.5,3069.438
53:49.0,14.700798,80.139034,128.4,4.8,3069.439
53:50.0,14.700805,80.139046,128.3,4.8,3069.44
53:51.0,14.700812,80.139058,128.4,4.6,3069.442
53:52.0,14.700819,80.139069,128.4,4.6,3069.443
53:53.0,14.700827,80.139082,128.5,5.1,3069.444
53:54.0,14.700834,80.139094,128.4,4.8,3069.446
53:55.0,14.700841,80.139106,128.4,4.8,3069.447
53:56.0,14.700848,80.139118,128.3,4.8,3069.448
53:57.0,14.700855,80.139129,128.4,4.5,3069.449
53:58.0,14.700862,80.139141,128.5,4.7,3069.451
53:59.0,14.700869,80.139153,128.3,4.8,3069.452
54:00.0,14.700877,80.139165,128.4,4.9,3069.453
54:01.0,14.700884,80.139177,128.4,4.9,3069.455
54:02.0,14.700891,80.13919,128.4,4.9,3069.456
54:03.0,14.700898,80.139201,128.4,4.6,3069.457
54:04.0,14.700905,80.139213,128.3,4.9,3069.459
54:05.0,14.700912,80.139225,128.4,4.8,3069.46
54:06.0,14.70092,80.139237,128.5,4.8,3069.461
54:07.0,14.700927,80.139249,128.3,4.9,3069.463
54:08.0,14.700934,80.139262,128.3,4.9,3069.464
54:09.0,14.700941,80.139273,128.4,4.5,3069.465
54:10.0,14.700948,80.139285,128.3,4.7,3069.467
54:11.0,14.700955,80.139296,128.3,4.5,3069.468
54:12.0,14.700959,80.139303,128.1,4.7,3069.469
01:12.0,15.377134,81.266261,132.3,5.1,3194.561
01:13.0,15.377142,81.266274,132.3,5.0,3194.563
01:14.0,15.377149,81.266285,132.4,4.7,3194.564
01:15.0,15.377155,81.266297,132.3,4.5,3194.565
01:16.0,15.377163,81.266309,132.3,4.8,3194.566
01:17.0,15.37717,81.266321,132.2,4.8,3194.568
01:18.0,15.377177,81.266333,132.1,4.7,3194.569
01:19.0,15.377184,81.266344,132.1,4.7,3194.57
01:20.0,15.377191,81.266356,132.2,4.8,3194.572
01:21.0,15.377198,81.266368,132.2,4.8,3194.573
01:22.0,15.377206,81.266381,132.2,5.1,3194.574
01:23.0,15.377213,81.266392,132.3,4.5,3194.576
01:24.0,15.37722,81.266404,132.2,4.6,3194.577
01:25.0,15.377226,81.266415,132.1,4.4,3194.578
01:26.0,15.377233,81.266426,132.2,4.6,3194.579
01:27.0,15.37724,81.266438,132.4,4.6,3194.581
01:28.0,15.377247,81.266449,132.4,4.5,3194.582
01:29.0,15.377254,81.266461,132.4,4.8,3194.583
01:30.0,15.377261,81.266472,132.4,4.6,3194.585
01:31.0,15.377267,81.266483,132.2,4.4,3194.586
01:32.0,15.377275,81.266495,132.2,4.8,3194.587
01:33.0,15.377281,81.266506,132.1,4.4,3194.588
01:34.0,15.377288,81.266518,132.2,4.6,3194.59
01:35.0,15.377295,81.26653,132.3,4.7,3194.591
01:36.0,15.377302,81.266541,132.3,4.5,3194.592
01:37.0,15.377309,81.266553,132.4,4.5,3194.593
01:38.0,15.377316,81.266564,132.5,4.5,3194.595
01:39.0,15.377323,81.266575,132.5,4.6,3194.596
01:40.0,15.377329,81.266587,132.5,4.5,3194.597
01:41.0,15.377336,81.266598,132.6,4.7,3194.599
01:42.0,15.377343,81.26661,132.5,4.5,3194.6
01:43.0,15.37735,81.266621,132.5,4.6,3194.601
01:44.0,15.377357,81.266633,132.4,4.6,3194.602
01:45.0,15.377364,81.266644,132.4,4.7,3194.604
01:46.0,15.377371,81.266656,132.6,4.8,3194.605
01:47.0,15.377379,81.266669,132.6,4.9,3194.606
01:48.0,15.377386,81.26668,132.7,4.7,3194.608
01:49.0,15.377393,81.266692,132.5,4.7,3194.609
01:50.0,15.3774,81.266704,132.4,4.7,3194.61
01:51.0,15.377407,81.266715,132.3,4.6,3194.612
01:52.0,15.377413,81.266726,132.4,4.5,3194.613
01:53.0,15.37742,81.266738,132.5,4.6,3194.614
01:54.0,15.377427,81.266749,132.6,4.6,3194.615
01:55.0,15.377434,81.26676,132.5,4.4,3194.617
01:56.0,15.37744,81.266772,132.6,4.5,3194.618
01:57.0,15.377447,81.266783,132.7,4.7,3194.619
01:58.0,15.377454,81.266795,132.9,4.6,3194.62
01:59.0,15.377462,81.266807,132.9,4.9,3194.622
02:00.0,15.377469,81.266819,133.0,4.8,3194.623
02:01.0,15.37668,81.265504,132.8,4.8,3194.624
02:02.0,15.376688,81.265517,132.0,5.0,3194.479
02:03.0,15.376695,81.265529,132.0,4.8,3194.48
02:04.0,15.376702,81.265541,132.0,4.7,3194.481
02:05.0,15.376709,81.265552,132.0,4.6,3194.482
02:06.0,15.376716,81.265564,132.0,4.5,3194.484
02:07.0,15.376723,81.265575,131.9,4.7,3194.485
02:08.0,15.376729,81.265587,132.1,4.6,3194.486
02:09.0,15.376736,81.265598,132.1,4.5,3194.488
02:10.0,15.376743,81.26561,132.1,4.8,3194.489
02:11.0,15.376749,81.265619,132.1,4.8,3194.49
02:12.0,15.376756,81.265631,131.6,4.8,3194.491
02:13.0,15.376763,81.265643,131.5,4.6,3194.493
02:14.0,15.37677,81.265654,131.6,4.6,3194.494
02:15.0,15.376777,81.265665,131.6,4.4,3194.495
02:16.0,15.376784,81.265677,131.6,4.6,3194.496
02:17.0,15.376791,81.265689,131.7,4.8,3194.498
02:18.0,15.376798,81.265701,131.7,4.8,3194.499
02:19.0,15.376805,81.265712,131.7,4.5,3194.5
02:20.0,15.376812,81.265724,131.8,4.6,3194.501
02:21.0,15.376809,81.265719,132.0,4.2,3194.502
02:22.0,15.376815,81.26573,132.1,4.5,3194.502
02:23.0,15.376822,81.265741,131.9,4.7,3194.503
02:24.0,15.376829,81.265753,131.8,4.8,3194.505
02:25.0,15.376836,81.265765,131.8,4.7,3194.506
02:26.0,15.376843,81.265776,131.6,4.5,3194.507
02:27.0,15.37685,81.265788,131.4,4.8,3194.509
02:28.0,15.376857,81.2658,131.6,4.7,3194.51
02:29.0,15.376864,81.265812,131.7,4.7,3194.511
02:30.0,15.376872,81.265824,131.8,4.7,3194.513
02:31.0,15.376879,81.265836,131.7,4.9,3194.514
02:32.0,15.376886,81.265848,131.6,4.8,3194.515
02:33.0,15.376893,81.26586,131.5,4.9,3194.517
02:34.0,15.376901,81.265872,131.3,4.9,3194.518
02:35.0,15.376908,81.265884,131.2,4.8,3194.519
02:36.0,15.376915,81.265896,131.3,4.6,3194.521
02:37.0,15.376922,81.265908,131.3,5.0,3194.522
02:38.0,15.376929,81.26592,131.3,4.7,3194.523
02:39.0,15.376936,81.265931,131.4,4.5,3194.525
02:40.0,15.376943,81.265943,131.3,4.7,3194.526
02:41.0,15.376951,81.265955,131.4,4.8,3194.527
02:42.0,15.376958,81.265968,131.5,5.1,3194.529
02:43.0,15.376966,81.26598,131.5,4.9,3194.53
02:44.0,15.376973,81.265992,131.7,4.8,3194.531
02:45.0,15.37698,81.266005,131.8,5.0,3194.533
02:46.0,15.376987,81.266017,131.9,4.8,3194.534
02:47.0,15.376995,81.266029,132.0,4.9,3194.535
02:48.0,15.377002,81.26604,131.9,4.6,3194.537
02:49.0,15.377009,81.266052,131.7,4.7,3194.538
02:50.0,15.377016,81.266065,131.6,5.0,3194.539
02:51.0,15.377023,81.266077,131.6,4.7,3194.541
02:52.0,15.377031,81.266089,131.7,4.7,3194.542
02:53.0,15.377038,81.266101,131.6,4.8,3194.543
02:54.0,15.377045,81.266112,131.7,4.7,3194.545
02:55.0,15.377052,81.266124,131.8,4.8,3194.546
02:56.0,15.377059,81.266137,131.6,4.9,3194.547
02:57.0,15.377067,81.266149,131.8,5.1,3194.549
02:58.0,15.377075,81.266162,131.8,5.0,3194.55
02:59.0,15.377082,81.266174,131.8,4.9,3194.552
03:00.0,15.377089,81.266186,131.9,4.8,3194.553
03:01.0,15.37712,81.266237,131.9,4.5,3194.558
03:02.0,15.377126,81.266248,131.7,4.4,3194.56
03:03.0,15.377133,81.266259,131.7,4.6,3194.561
03:04.0,15.37714,81.266271,131.7,4.8,3194.562
03:05.0,15.377148,81.266284,131.7,5.1,3194.564
03:06.0,15.377155,81.266297,131.7,5.0,3194.565
03:07.0,15.377163,81.266309,131.7,4.8,3194.566
03:08.0,15.37717,81.266321,131.8,5.1,3194.568
03:09.0,15.377178,81.266334,131.9,5.1,3194.569
03:10.0,15.377185,81.266347,131.8,5.1,3194.571
03:11.0,15.377171,81.266322,131.7,4.7,3194.571
03:12.0,15.377179,81.266336,131.8,5.6,3194.569
03:13.0,15.377186,81.266348,131.9,4.7,3194.571
03:14.0,15.377194,81.26636,131.8,4.8,3194.572
03:15.0,15.377201,81.266372,131.7,4.7,3194.573
03:16.0,15.377208,81.266384,131.8,4.8,3194.575
03:17.0,15.377215,81.266396,131.8,4.9,3194.576
03:18.0,15.377222,81.266408,131.9,4.7,3194.577
03:19.0,15.377229,81.266419,131.8,4.5,3194.579
03:20.0,15.377236,81.266432,131.8,5.0,3194.58
03:21.0,15.37727,81.266488,131.8,4.8,3194.586
03:22.0,15.377278,81.266501,131.8,5.1,3194.588
03:23.0,15.377285,81.266512,131.8,4.5,3194.589
03:24.0,15.377291,81.266523,131.8,4.3,3194.59
03:25.0,15.377298,81.266534,131.9,4.5,3194.591
03:26.0,15.377305,81.266546,131.9,4.8,3194.593
03:27.0,15.377313,81.266559,132.0,5.0,3194.594
03:28.0,15.37732,81.26657,132.0,4.7,3194.595
03:29.0,15.377327,81.266582,132.2,4.8,3194.597
03:30.0,15.377334,81.266595,132.2,4.9,3194.598
03:31.0,15.377341,81.266606,132.1,4.8,3194.599
03:32.0,15.377349,81.266619,132.1,4.9,3194.601
03:33.0,15.377356,81.26663,132.0,4.7,3194.602
03:34.0,15.377363,81.266642,131.9,4.7,3194.603
03:35.0,15.37737,81.266654,131.9,4.6,3194.605
03:36.0,15.377377,81.266665,132.0,4.5,3194.606
03:37.0,15.377383,81.266677,131.9,4.6,3194.607
03:38.0,15.377391,81.266689,131.9,4.7,3194.609
03:39.0,15.377398,81.266701,131.9,4.7,3194.61
03:40.0,15.377405,81.266713,131.9,4.9,3194.611
03:41.0,15.377412,81.266725,131.8,4.9,3194.613
03:42.0,15.377419,81.266736,131.8,4.5,3194.614
03:43.0,15.377426,81.266748,131.6,4.7,3194.615
03:44.0,15.377433,81.26676,131.8,4.9,3194.617
03:45.0,15.377441,81.266772,131.7,4.8,3194.618
03:46.0,15.377448,81.266784,131.6,5.0,3194.619
03:47.0,15.377456,81.266797,131.8,5.0,3194.621
03:48.0,15.377463,81.266809,131.8,5.0,3194.622
03:49.0,15.37747,81.266821,131.8,4.8,3194.623
03:50.0,15.377478,81.266834,131.7,5.1,3194.625
03:51.0,15.377485,81.266846,131.7,4.9,3194.626
03:52.0,15.377493,81.266859,131.8,5.0,3194.627
03:53.0,15.3775,81.266871,131.8,4.9,3194.629
03:54.0,15.377508,81.266884,131.7,5.1,3194.63
03:55.0,15.377515,81.266896,131.7,4.8,3194.632
03:56.0,15.377522,81.266908,131.8,4.8,3194.633
03:57.0,15.377529,81.26692,131.7,4.9,3194.634
03:58.0,15.377537,81.266932,131.6,4.7,3194.636
03:59.0,15.377543,81.266943,131.7,4.6,3194.637
04:00.0,15.37755,81.266955,131.7,4.6,3194.638
04:01.0,15.37756,81.266971,131.9,4.5,3194.64
04:02.0,15.377567,81.266982,132.1,4.4,3194.641
04:03.0,15.377574,81.266994,131.9,4.7,3194.642
04:04.0,15.377581,81.267006,132.0,4.7,3194.644
04:05.0,15.377588,81.267018,131.9,4.9,3194.645
04:06.0,15.377595,81.26703,131.9,4.7,3194.646
04:07.0,15.377602,81.267042,131.9,4.8,3194.648
04:08.0,15.377609,81.267053,131.9,4.6,3194.649
04:09.0,15.377617,81.267065,132.0,4.8,3194.65
04:10.0,15.377624,81.267077,132.1,4.8,3194.652
04:11.0,15.377621,81.267073,132.1,4.7,3194.653
04:12.0,15.377628,81.267084,131.9,4.6,3194.653
04:13.0,15.377635,81.267096,132.1,4.7,3194.654
04:14.0,15.377643,81.267109,132.1,5.0,3194.655
04:15.0,15.377649,81.26712,132.1,4.6,3194.656
04:16.0,15.377656,81.267131,132.0,4.5,3194.658
04:17.0,15.377663,81.267143,132.0,4.4,3194.659
04:18.0,15.37767,81.267154,132.1,4.6,3194.66
04:19.0,15.377677,81.267166,132.0,4.7,3194.662
04:20.0,15.377683,81.267177,132.2,4.3,3194.663
04:21.0,15.377709,81.267219,132.1,4.7,3194.667
04:22.0,15.377717,81.267233,132.2,5.4,3194.669
04:23.0,15.377724,81.267244,132.2,4.6,3194.67
04:24.0,15.377731,81.267256,132.4,4.6,3194.672
04:25.0,15.377738,81.267268,132.6,4.8,3194.673
04:26.0,15.377745,81.26728,132.6,4.7,3194.674
04:27.0,15.377752,81.267292,132.5,4.8,3194.676
04:28.0,15.377759,81.267303,132.6,4.7,3194.677
04:29.0,15.377767,81.267315,132.6,4.7,3194.678
04:30.0,15.377773,81.267327,132.5,4.5,3194.679
04:31.0,15.37778,81.267338,132.4,4.5,3194.681
04:32.0,15.377787,81.26735,132.4,4.9,3194.682
04:33.0,15.377794,81.267362,132.4,4.6,3194.683
04:34.0,15.377801,81.267373,132.3,4.4,3194.685
04:35.0,15.377808,81.267385,132.1,4.9,3194.686
04:36.0,15.377816,81.267397,132.0,4.9,3194.687
04:37.0,15.377823,81.267409,132.1,4.9,3194.689
04:38.0,15.37783,81.267422,132.2,5.0,3194.69
04:39.0,15.377838,81.267434,132.3,5.0,3194.691
04:40.0,15.377845,81.267446,132.2,4.7,3194.693
04:41.0,15.377852,81.267458,132.2,4.7,3194.694
04:42.0,15.37786,81.267471,132.2,5.1,3194.695
04:43.0,15.377867,81.267483,132.2,5.0,3194.697
04:44.0,15.377874,81.267495,132.1,4.7,3194.698
04:45.0,15.377881,81.267506,131.9,4.5,3194.699
04:46.0,15.377888,81.267518,131.8,4.8,3194.701
04:47.0,15.377896,81.267531,131.9,4.9,3194.702
04:48.0,15.377903,81.267542,131.9,4.8,3194.703
04:49.0,15.37791,81.267555,132.0,4.9,3194.705
04:50.0,15.377918,81.267567,131.9,4.9,3194.706
04:51.0,15.377925,81.267579,132.0,4.9,3194.707
04:52.0,15.377931,81.26759,132.1,4.4,3194.709
04:53.0,15.377939,81.267602,132.2,4.8,3194.71
04:54.0,15.377946,81.267615,132.2,5.0,3194.711
04:55.0,15.377954,81.267627,132.1,5.1,3194.713
04:56.0,15.377961,81.267639,132.0,4.8,3194.714
04:57.0,15.377968,81.267652,132.1,4.8,3194.715
04:58.0,15.377975,81.267663,132.2,4.6,3194.717
04:59.0,15.377982,81.267675,132.3,4.8,3194.718
05:00.0,15.377989,81.267686,132.4,4.5,3194.719
05:01.0,15.378021,81.267739,132.3,4.4,3194.725
05:02.0,15.378027,81.267749,132.2,4.0,3194.726
05:03.0,15.378034,81.267761,132.4,4.9,3194.728
05:04.0,15.378041,81.267773,132.5,5.0,3194.729
05:05.0,15.378049,81.267786,132.5,4.8,3194.73
05:06.0,15.378056,81.267798,132.7,4.8,3194.732
05:07.0,15.378063,81.26781,132.7,4.9,3194.733
05:08.0,15.37807,81.267821,132.5,4.7,3194.734
05:09.0,15.378077,81.267833,132.2,4.6,3194.736
05:10.0,15.378085,81.267847,132.1,5.4,3194.737
05:11.0,15.37807,81.267822,132.2,5.1,3194.738
05:12.0,15.378078,81.267835,132.3,5.2,3194.736
05:13.0,15.378085,81.267847,132.3,4.7,3194.737
05:14.0,15.378093,81.267859,132.3,4.8,3194.738
05:15.0,15.3781,81.267871,132.4,4.8,3194.74
05:16.0,15.378107,81.267882,132.5,4.7,3194.741
05:17.0,15.378114,81.267895,132.3,5.0,3194.742
05:18.0,15.378121,81.267907,132.2,4.8,3194.744
05:19.0,15.378129,81.267919,132.4,4.8,3194.745
05:20.0,15.378135,81.26793,132.5,4.5,3194.746
05:21.0,15.378166,81.26798,132.4,4.8,3194.752
05:22.0,15.378173,81.267993,132.1,5.2,3194.753
05:23.0,15.37818,81.268005,132.1,4.5,3194.755
05:24.0,15.378187,81.268016,132.0,4.6,3194.756
05:25.0,15.378194,81.268028,131.9,4.7,3194.757
05:26.0,15.378202,81.268041,131.8,5.0,3194.759
05:27.0,15.378209,81.268052,131.7,4.5,3194.76
05:28.0,15.378216,81.268064,131.7,4.7,3194.761
05:29.0,15.378223,81.268075,131.7,4.6,3194.763
05:30.0,15.378229,81.268086,131.7,4.5,3194.764
05:31.0,15.378236,81.268098,131.8,4.6,3194.765
05:32.0,15.378243,81.268109,131.9,4.3,3194.766
05:33.0,15.37825,81.26812,131.9,4.6,3194.768
05:34.0,15.378257,81.268132,131.9,4.6,3194.769
05:35.0,15.378263,81.268143,131.9,4.6,3194.77
05:36.0,15.37827,81.268155,131.9,4.6,3194.771
05:37.0,15.378277,81.268167,131.9,4.6,3194.773
05:38.0,15.378284,81.268178,131.9,4.6,3194.774
05:39.0,15.378291,81.268189,131.7,4.4,3194.775
05:40.0,15.378298,81.268201,131.8,4.6,3194.776
05:41.0,15.378305,81.268213,131.9,4.8,3194.778
05:42.0,15.378312,81.268224,132.0,4.5,3194.779
05:43.0,15.378319,81.268236,131.9,5.0,3194.78
05:44.0,15.378326,81.268247,131.8,4.4,3194.782
05:45.0,15.378333,81.268259,131.8,4.6,3194.783
05:46.0,15.378339,81.26827,131.9,4.3,3194.784
05:47.0,15.378346,81.268281,132.0,4.6,3194.785
05:48.0,15.378353,81.268292,132.0,4.6,3194.787
05:49.0,15.37836,81.268304,132.1,4.7,3194.788
05:50.0,15.378368,81.268317,132.0,5.1,3194.789
05:51.0,15.378375,81.268329,132.0,4.7,3194.791
05:52.0,15.378382,81.268342,131.9,5.1,3194.792
05:53.0,15.378389,81.268353,131.9,4.7,3194.793
05:54.0,15.378396,81.268365,132.0,4.6,3194.795
05:55.0,15.378403,81.268377,132.2,4.6,3194.796
05:56.0,15.37841,81.268388,132.3,4.8,3194.797
05:57.0,15.378418,81.268401,132.4,4.8,3194.799
05:58.0,15.378425,81.268412,132.4,4.5,3194.8
05:59.0,15.378432,81.268424,132.2,5.0,3194.801
06:00.0,15.378439,81.268437,132.5,5.0,3194.803
06:01.0,15.378444,81.268444,132.5,5.0,3194.803
08:51.0,15.379553,81.270293,132.5,4.4,3195.009
08:52.0,15.37956,81.270305,132.5,4.8,3195.01
08:53.0,15.379568,81.270317,132.5,4.8,3195.011
08:54.0,15.379575,81.270329,132.6,4.8,3195.013
08:55.0,15.379582,81.270341,132.6,4.9,3195.014
08:56.0,15.37959,81.270354,132.6,4.9,3195.015
08:57.0,15.379597,81.270366,132.7,4.9,3195.017
08:58.0,15.379604,81.270378,132.7,4.8,3195.018
08:59.0,15.379611,81.27039,132.6,4.8,3195.019
09:00.0,15.379619,81.270402,132.6,4.9,3195.021
09:01.0,15.379636,81.270432,132.6,5.0,3195.024
09:02.0,15.379644,81.270444,132.7,4.9,3195.025
09:03.0,15.379651,81.270456,132.7,4.8,3195.027
09:04.0,15.379658,81.270468,132.7,4.9,3195.028
09:05.0,15.379666,81.27048,132.7,4.9,3195.029
09:06.0,15.379673,81.270493,132.7,5.0,3195.031
09:07.0,15.379681,81.270505,132.7,5.0,3195.032
09:08.0,15.379688,81.270517,132.7,4.8,3195.034
09:09.0,15.379695,81.27053,132.8,5.0,3195.035
09:10.0,15.379703,81.270542,132.9,4.8,3195.036
09:11.0,15.379698,81.270534,132.6,4.8,3195.035
09:12.0,15.379705,81.270547,132.7,4.9,3195.037
09:13.0,15.379713,81.270559,132.7,5.0,3195.038
09:14.0,15.37972,81.270572,132.7,5.0,3195.04
09:15.0,15.379728,81.270584,132.6,5.0,3195.041
09:16.0,15.379735,81.270597,132.6,5.0,3195.042
09:17.0,15.379742,81.270608,132.6,4.6,3195.044
09:18.0,15.379749,81.270619,132.8,4.5,3195.045
09:19.0,15.379756,81.27063,132.8,4.4,3195.046
09:20.0,15.379762,81.270642,132.6,4.6,3195.047
09:21.0,15.37979,81.270687,133.0,5.3,3195.052
